,0,1
103,30702,AZOHOUE-ALIHO
104,30703,AZOHOUE-CADA
105,30751,TORI-BOSSITO
106,30704,TORI-CADA
107,30705,TORI-GARE
108,30801,ADJAN
109,30802,DAWE
110,30803,DJIGBE
111,30805,HEKANME
112,30806,KOUNDOKPOE
113,30807,SEDJE-DENOU
114,30808,SEDJE-HOUEGOUDO
115,30809,TANGBO
116,30810,YOKPO
117,30851,ZE
118,40103,GAMIA
119,40104,INA
120,40201,BASSO
121,40202,BOUCA
122,40203,DERASSI
123,40205,PEONGA
124,40301,BORI
125,40302,GBEGOUROU
126,40351,N'DALI
127,40303,OUENOU
128,30506,VEKKY
129,30601,AGUE
130,30602,COLLI
131,30603,COUSSI
132,30604,DAME
133,30605,DJANGLANME
134,30606,HOUEGBO
135,30607,KPOME
136,50551,SAVALOU-AGA
137,50552,SAVALOU-AGBADO
138,50553,SAVALOU-ATTAKE
139,50511,TCHETTI
140,50651,ADIDO
141,50601,BESSE
142,50652,BONI
143,50602,KABOUA
144,50603,OFFE
145,40451,NIKKI
146,40403,OUENOU
147,40404,SEREKALI
148,40405,SUYA
149,40406,TASSO
150,40502,2EME ARRONDISSEMENT
151,40503,3EME ARRONDISSEMENT
152,40601,GNINSY
153,40602,GUINAGOUROU
154,40603,KPEBIE
155,40604,PANE
156,40701,FO-BOURE
157,40702,SEKERE
158,40703,SIKKI
159,40751,SINENDE
160,40801,ALAFIAROU
161,40802,BETEROU
162,40803,GORO
163,40806,TCHATCHOU
164,50101,AGOUA
165,50102,AKPASSI
166,50103,ATOKOLIBE
167,50151,BANTE
168,50104,BOBE
169,50105,GOUKA
170,50106,KOKO
171,50107,LOUGBA
172,50252,DASSA II
173,50202,GBAFFO
174,50203,KERE
175,50204,KPINGNI
176,50205,LEMA
177,50206,PAOUINGNAN
178,50207,SOCLOGBO
179,50351,GLAZOUE
180,50303,GOME
181,50304,KPAKPAZA
182,50305,MAGOUMI
183,50306,OUEDEME
184,50307,SOKPONTA
185,50308,THIO
186,50309,ZAFFE
187,50401,CHALLA-OGOI
188,50402,DJEGBE
189,50403,GBANLIN
190,50404,IKEMON
191,50407,ODOUGBA
192,50451,OUESSE
193,50408,TOUI
194,50501,DJALLOUKOU
195,50502,DOUME
196,50503,GOBADA
197,50504,KPATABA
198,50505,LAHOTAN
199,50506,LEMA
200,60101,ATOMEY
201,60102,AZOVE
202,60103,DEKPO-CENTRE
203,60104,GODOHOU
204,60202,BETOUMEY
205,60251,DJAKOTOMEY I
206,60252,DJAKOTOMEY II
207,60203,GOHOMEY
208,60204,HOUEGAMEY
209,60205,KINKINHOUE
210,60206,KOKOHOUE
211,60207,KPOBA
212,60208,SOKOUHOUE
213,60451,KLOUEKANME
214,60406,LANTA
215,60407,TCHIKPE
216,60501,ADOUKANDJI
217,60502,AHODJINNAKO
218,60503,AHOMADEGBE
219,60504,BANIGBE
220,60505,GNIZOUNME
221,60506,HLASSAME
222,60551,LALO
223,60510,ZALLI
224,60602,AVEDJIN
225,60603,DOKO
226,60604,HOUEDOGLI
227,60605,MISSINKO
228,60606,TANNOU-GOLA
229,60651,TOVIKLIN
230,70101,ALEDJO
231,70103,PENESSOULOU
232,70201,ANANDANA
233,70251,COPARGO
234,70202,PABEGOU
235,70203,SINGRE
236,70301,BAREI
237,70303,BELLEFOUNGOU
238,70351,DJOUGOU I
239,70352,DJOUGOU II
240,70353,DJOUGOU III
241,70305,KOLOCONDE
242,70306,ONKLOU
243,70307,PARTAGO
244,60303,HONTON
245,60304,LOKOGOHOUE
246,60305,MADJRE
247,60351,TOTA
248,60306,TOTCHANGNI CENTRE
249,60401,ADJAHONME
250,60402,AHOGBEYA
251,60403,AYAHOHOUE
252,100251,ADJOHOUN
253,100201,AKPADANOU
254,100202,AWONOU
255,100203,AZOWLISSE
256,100204,DEME
257,100205,GANGBAN
258,100206,KODE
259,100207,TOGBOTA
260,100301,AVAGBODJI
261,70402,KOMDE
262,70451,OUAKE
263,70403,SEMERE 1
264,70404,SEMERE 2
265,70405,TCHALINGA
266,80101,1ER ARRONDISSEMENT
267,80110,10EME ARRONDISSEMENT
268,80113,13EME ARRONDISSEMENT
269,80102,2EME ARRONDISSEMENT
270,80103,3EME ARRONDISSEMENT
271,80104,4EME ARRONDISSEMENT
272,80106,6EME ARRONDISSEMENT
273,80107,7EME ARRONDISSEMENT
274,80108,8EME ARRONDISSEMENT
275,80109,9EME ARRONDISSEMENT
276,90101,ADOHOUN
277,90102,ATCHANNOU
278,90103,DEDEKPOE
279,90104,KPINNOU
280,90201,AGBODJI
281,90202,BADAZOUIN
282,90251,BOPA
283,90203,GBAKPODJI
284,90302,AKODEHA
285,90351,COME
286,90303,OUEDEME-PEDAH
287,90304,OUMAKO
288,90401,ADJAHA
289,90402,AGOUE
290,90403,AVLO
291,90406,SAZUE
292,90501,DAHE
293,90502,DOUTOU
294,90503,HONHOUE
295,90551,HOUEYOGBE
296,90602,HOUIN
297,90603,KOUDO
298,90651,LOKOSSA
299,90604,OUEDEME-ADJA
300,100151,ADJARRA 1
301,100152,ADJARRA 2
302,100104,MEDEDJONOU
303,100451,AKPRO-MISSERETE
304,100401,GOME-SOTA
305,100402,KATAGON
306,100403,VAKON
307,100404,ZOUNGBOME
308,100501,ATCHOUKPA
309,100551,AVRANKOU
310,100505,OUANHO
311,100506,SADO
312,100601,AFFAME
313,100602,ATCHONSA
314,100651,BONOU
315,100603,DAME-WOGON
316,100604,HOUNVIGUE
317,100751,DANGBO
318,100701,DEKIN
319,100702,GBEKO
320,100703,HOUEDOMEY
321,100805,5EME ARRONDISSEMENT
322,100901,AGBLANGANDAN
323,100902,AHOLOUYEME
324,100903,DJEREGBE
325,100904,EKPE
326,100951,SEME-PODJI
327,100905,TOHOUE
328,110101,IKPINLE
329,110102,KPOULOU
330,110103,MASSE
331,110104,OKO-AKARE
332,110105,TATONNONKON
333,110201,BANIGBE
334,110251,IFANGNI
335,110203,KO-KOUMOLOU
336,110204,LAGBE
337,110205,TCHAADA
338,110301,ADAKPLAME
339,110302,IDIGNY
340,110304,ODOMETA
341,110305,OKPOMETA
342,110401,AHOYEYE
343,110402,IGANA
344,110403,ISSABA
345,110451,POBE
346,100801,1ER ARRONDISSEMENT
347,100802,2EME ARRONDISSEMENT
348,100803,3EME ARRONDISSEMENT
349,50302,ASSANTE
350,50405,KILIBO
351,50406,LAMINOU
352,50507,LOGOZOHE
353,50508,MONKPA
354,50509,OTTOLA
355,50510,OUESSE
356,60105,KISSAMEY
357,60106,LONKLY
358,60201,ADJINTIMEY
359,60301,AYOMI
360,60302,DEVE
361,60507,LOKOGBA
362,60508,TCHITO
363,60509,TOHOU
364,60601,ADJIDO
365,70151,BASSILA
366,70102,MANIGRI
367,70302,BARIENOU
368,70304,BOUGOU
369,70308,PELEBINA
370,70309,SEROU
371,70401,BADJOUDE
372,60404,DJOTTO
373,60405,HONDJIN
374,100302,HOUEDOME
375,100303,ZOUNGAME
376,80111,11EME ARRONDISSEMENT
377,80112,12EME ARRONDISSEMENT
378,80105,5EME ARRONDISSEMENT
379,90151,ATHIEME
380,90204,LOBOGO
381,90205,POSSOTOME
382,90206,YEGODOE
383,90301,AGATOGBO
384,90404,DJANGLANMEY
385,90405,GBEHOUE
386,90451,GRAND-POPO
387,90552,SE
388,90504,ZOUNGBONOU
389,90601,AGAME
390,100101,AGLOGBE
391,100102,HONVIE
392,100103,MALANHOUI
393,100502,DJOMON
394,100503,GBOZOUME
395,110551,SAKETE 1
396,110552,SAKETE 2
397,110503,TAKON
398,110504,YOKO
399,120101,AGBOKPA
400,120102,DETOHOU
401,120151,DJEGBE
402,120103,SEHOUN
403,120202,ADINGNIGON
404,120251,AGBANGNIZOUN
405,120203,KINTA
406,120204,KPOTA
407,120205,LISSAZOUNME
408,120206,SAHE
409,120207,SINWE
410,120208,TANVE
411,120209,ZOUNGOUNDO
412,120301,AGONGOINTO
413,120302,AVOGBANNA
414,120351,BOHICON I
415,120303,GNIDJAZOUN
416,120306,PASSAGON
417,120307,SACLO
418,120308,SODOHOME
419,120451,ADOGBE
420,120452,GOUNLI
421,120401,HOUEKO
422,120453,HOUIN-HOUNSO
423,120454,LAINTA-COGBE
424,120455,NAOGON
425,120456,SOLI
426,120457,ZOGBA
427,120501,AGONDJI
428,120502,AGOUNA
429,120505,GOBAIX
430,120506,HOUTO
431,120507,MONSOUROU
432,120508,MOUGNON
433,120509,OUMBEGAME
434,120510,SETTO
435,120511,ZOUNKON
436,120601,DASSO
437,120651,OUINHI CENTRE
438,120703,DON-TAN
439,120704,DOVI
440,120705,KPEDEKPO
441,120751,ZAGNANADO CENTRE
442,120801,ALLAHE
443,120802,ASSANLIN
444,120803,HOUNGOME
445,120804,KPAKPAME
446,120805,KPOZOUN
447,120902,AVLAME
448,120903,CANA I
449,120904,CANA II
450,120905,DOME
451,120906,KOUSSOUKPA
452,120907,KPOKISSA
453,120908,MASSI
454,120909,TANWE-HESSOU
455,120951,ZOGBODOMEY CENTRE
456,120910,ZOUKOU
457,20104,MANTA
458,10106,OUNET
459,10107,SOMPEROUKOU
460,10204,SOUGOU-KPAN-TROSSI
461,10301,ANGARADEBOU
462,10307,SONSORO
463,10401,BIRNI LAFIA
464,10402,BOGO-BOGO
465,10451,KARIMAMA
466,10601,LIBANTE
467,10602,LIBOUSSOU
468,30301,AGANMALOME
469,30303,AGONKANME
470,20303,KAOBAGOU
471,20351,KEROU
472,20501,DASSARI
473,20502,GOUANDE
474,20602,KOUABA
475,20603,KOUANDATA
476,20652,NATITINGOU II
477,20801,COTIAKOU
478,20802,N'DAHONTA
479,30151,ABOMEY-CALAVI
480,30103,GOLO-DJIGBE
481,30251,ALLADA CENTRE
482,30203,ATTOGON
483,30404,HOUAKPE-DAHO
484,30451,OUIDAH I
485,30504,GANVIE 2
486,30505,HOUEDO-AGUEKON
487,30551,SO-AVA
488,30804,DODJI-BATA
489,40151,BEMBEREKE
490,40101,BEROUBOUAY
491,40102,BOUANRI
492,40204,DUNKASSA
493,40251,KALALE
494,40304,SIRAROU
495,40401,BIRO
496,40402,GNONKOUROKALI
497,30608,SEHOUE
498,30609,SEY
499,30651,TOFFO
500,30701,AVAME
501,50604,OKPARA
502,50653,PLATEAU
503,50605,SAKIN
504,60151,APLAHOUE
505,40501,1ER ARRONDISSEMENT
506,40651,PERERE
507,40605,SONTOU
508,40804,KIKA
509,40805,SANSON
510,40851,TCHAOUROU
511,50108,PIRA
512,50201,AKOFFODJOULE
513,50251,DASSA I
514,50208,TRE
515,50301,AKLAMPA
516,100504,KOUTI
517,100704,HOZIN
518,100705,KESSOUNOU
519,100706,ZOUNGUE
520,110151,ADJA-OUERE
521,110202,DAAGBE
522,110351,KETOU
523,110303,KPANKOU
524,110404,TOWE
525,110501,AGUIDI
526,110502,ITA-DJEBOU
527,100804,4EME ARRONDISSEMENT
528,120152,HOUNLI
529,120153,VIDOLE
530,120104,ZOUNZONME
531,120201,ADANHONDJIGO
532,120352,BOHICON II
533,120304,LISSEZOUN
534,120305,OUASSAHO
535,120503,DAN
536,120551,DJIDJA CENTRE
537,120504,DOHOUIME
538,120602,SAGON
539,120603,TOHOUES
540,120701,AGONLIN-HOUEGBO
541,120702,BANAME
542,120851,ZA-KPOTA
543,120806,ZA-TANTA
544,120807,ZEKO
545,120901,AKIZA
