,CDP,DP,CCM,CM,CAR,AR,VQ,CVQ
62,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,DIDOMPE,02.1.03.01
63,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,KOUGNANGOU,02.1.03.02
64,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,KOUKOUANKPANGOU,02.1.03.03
65,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,KOUSSOUCOINGOU,02.1.03.04
66,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,KOUSSOUNONGOU,02.1.03.05
67,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,KOUTAYAGOU,02.1.03.06
68,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,KOUWATAKOUANGOU,02.1.03.07
69,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,TAKPANTA,02.1.03.08
70,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,TCHAPETA,02.1.03.09
71,2,ATACORA,201,BOUKOUMBE,20103,KOUSSOUCOINGOU,TIPAOTI,02.1.03.10
72,2,ATACORA,201,BOUKOUMBE,20104,MANTA,DIKON HEIN,02.1.04.01
73,2,ATACORA,201,BOUKOUMBE,20104,MANTA,DIKOUTENI,02.1.04.02
74,2,ATACORA,201,BOUKOUMBE,20104,MANTA,DIMATADONIE,02.1.04.03
75,2,ATACORA,201,BOUKOUMBE,20104,MANTA,DIMATIMA,02.1.04.04
76,2,ATACORA,201,BOUKOUMBE,20104,MANTA,DIPOKOR,02.1.04.05
77,2,ATACORA,201,BOUKOUMBE,20104,MANTA,DIPOKOR-TCHAABA,02.1.04.06
78,2,ATACORA,201,BOUKOUMBE,20104,MANTA,KOUKOUAKAMANGOU,02.1.04.08
79,2,ATACORA,201,BOUKOUMBE,20104,MANTA,KOUKOUANGOU,02.1.04.09
80,2,ATACORA,201,BOUKOUMBE,20104,MANTA,KOUNADOGOU,02.1.04.10
81,2,ATACORA,201,BOUKOUMBE,20104,MANTA,KOUNATCHATIEGOU,02.1.04.11
82,2,ATACORA,201,BOUKOUMBE,20104,MANTA,KOUTANGOU,02.1.04.12
83,2,ATACORA,201,BOUKOUMBE,20104,MANTA,KOUTCHANTIE,02.1.04.13
84,2,ATACORA,201,BOUKOUMBE,20104,MANTA,TATCHADIETA,02.1.04.15
85,2,ATACORA,201,BOUKOUMBE,20105,NATA,DIPOKORFONTRI,02.1.05.01
86,2,ATACORA,201,BOUKOUMBE,20105,NATA,KOUDOGOU,02.1.05.02
87,2,ATACORA,201,BOUKOUMBE,20105,NATA,KOUKOUA,02.1.05.03
88,2,ATACORA,201,BOUKOUMBE,20105,NATA,KOUKPINTIEGOU,02.1.05.04
89,2,ATACORA,201,BOUKOUMBE,20105,NATA,KOUNAGNIGOU,02.1.05.05
90,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,ARBONGA,01.1.51.01
91,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,AVIATION,01.1.51.02
92,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,BATRAN,01.1.51.03
93,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,DEMANOU,01.1.51.04
94,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,DEROU GAROU,01.1.51.05
95,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,GLEGBABI,01.1.51.06
96,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,GUIGUIRI,01.1.51.07
97,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,KINGAROU,01.1.51.08
98,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,KOKIRE,01.1.51.09
99,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,KOMMON,01.1.51.10
100,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,KORI GUIGUIRI,01.1.51.11
101,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,KPAGAGUEDOU,01.1.51.12
102,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,OROU GNONROU,01.1.51.13
103,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,SAMANGA,01.1.51.14
104,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,TOKEY-BANTA,01.1.51.15
105,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,WAGOU,01.1.51.16
106,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,WETEROU,01.1.51.17
107,1,ALIBORI,101,BANIKOARA,10151,BANIKOARA,YADIKPAROU,01.1.51.18
108,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,BOFOUNOU,01.1.01.01
109,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,FOUNOUGO-BOUTERA,01.1.01.02
110,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,FOUNOUGO-GAH,01.1.01.03
111,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,FOUNOUGO-GOROBANI,01.1.01.04
112,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,GAMA,01.1.01.05
113,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,GAMERE-ZONGO,01.1.01.06
114,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,GOUGNIROU,01.1.01.07
115,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,GOUGNIROU-GAH,01.1.01.08
116,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,IBOTO,01.1.01.09
117,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,IGRIGOU,01.1.01.10
118,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,KANDEROU,01.1.01.11
119,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,KANDEROU-KOTCHERA,01.1.01.12
120,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,KONEY,01.1.01.13
121,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,KPAKO-GBABI,01.1.01.14
122,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,POGOUSSOROU,01.1.01.15
123,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,SAMPETO,01.1.01.16
124,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,SISSIANGANROU,01.1.01.17
125,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,YANGUERI,01.1.01.18
126,1,ALIBORI,101,BANIKOARA,10101,FOUNOUGO,YINYINPOGOU,01.1.01.19
127,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,BONHANROU,01.1.02.01
128,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,GNAMBANOU,01.1.02.02
129,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,GOMPAROU,01.1.02.03
130,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,GOMPAROU GOUSSINROU,01.1.02.04
131,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,GOMPAROU-GOKPADOU,01.1.02.05
132,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,GOURE-EDE,01.1.02.06
133,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,KALI,01.1.02.07
134,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,KPESSANROU,01.1.02.08
135,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,NIEKOUBANTA,01.1.02.09
136,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,PAMPIME,01.1.02.10
137,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,SIONKPEKOKA,01.1.02.11
138,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,TIGANSON,01.1.02.12
139,1,ALIBORI,101,BANIKOARA,10102,GOMPAROU,YOSSINANDE,01.1.02.13
140,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,BONNI,01.1.03.01
141,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,BONTE,01.1.03.02
142,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,DOMBOURE,01.1.03.03
143,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,DOMBOURE-GAH,01.1.03.04
144,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,DONDAGOU,01.1.03.05
145,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,GBANGBANGA,01.1.03.06
146,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,GBASSA,01.1.03.07
147,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,GOUMORI-BAYEDOU,01.1.03.08
148,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,GOUMORI-GAH,01.1.03.09
149,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,GOUMORI-GBISSAROU,01.1.03.10
150,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,MONDOUKOKA,01.1.03.11
151,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,MONDOUKOKA-GAH,01.1.03.12
152,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,SAKASSINNOU,01.1.03.13
153,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,SATOUBA,01.1.03.14
154,1,ALIBORI,101,BANIKOARA,10103,GOUMORI,TIHOURE,01.1.03.15
155,1,ALIBORI,101,BANIKOARA,10104,KOKEY,GAMAROU,01.1.04.01
156,1,ALIBORI,101,BANIKOARA,10104,KOKEY,KOKEY-FILO,01.1.04.02
157,1,ALIBORI,101,BANIKOARA,10104,KOKEY,KOKEY-SINAKPAROU,01.1.04.03
158,1,ALIBORI,101,BANIKOARA,10104,KOKEY,NIMBERE,01.1.04.04
159,1,ALIBORI,101,BANIKOARA,10104,KOKEY,PIGUIRE,01.1.04.05
160,1,ALIBORI,101,BANIKOARA,10104,KOKEY,SONWARI,01.1.04.06
161,1,ALIBORI,101,BANIKOARA,10104,KOKEY,YAMBEROU,01.1.04.07
162,1,ALIBORI,101,BANIKOARA,10105,KOKIBOROU,BONKERE,01.1.05.01
163,1,ALIBORI,101,BANIKOARA,10105,KOKIBOROU,GUINNINGOU-GAH,01.1.05.02
164,1,ALIBORI,101,BANIKOARA,10105,KOKIBOROU,KOKIBOROU,01.1.05.03
165,1,ALIBORI,101,BANIKOARA,10105,KOKIBOROU,SIRIKOU,01.1.05.04
166,1,ALIBORI,101,BANIKOARA,10105,KOKIBOROU,SOUNSOUN,01.1.05.05
167,1,ALIBORI,101,BANIKOARA,10106,OUNET,BONIKI,01.1.06.01
168,1,ALIBORI,101,BANIKOARA,10106,OUNET,KIHOUHOU,01.1.06.02
169,1,ALIBORI,101,BANIKOARA,10106,OUNET,OUNET-GAH,01.1.06.04
170,1,ALIBORI,101,BANIKOARA,10106,OUNET,OUNET-SEKOGBAOUROU,01.1.06.05
171,1,ALIBORI,101,BANIKOARA,10106,OUNET,OUNET-SINAKPAROU,01.1.06.06
172,1,ALIBORI,101,BANIKOARA,10106,OUNET,SONNOU,01.1.06.07
173,1,ALIBORI,101,BANIKOARA,10106,OUNET,SONNOU-GAH,01.1.06.08
174,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,BONYANGOU,01.1.07.01
175,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,GNANDAROU,01.1.07.03
176,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,KEGAMOROU,01.1.07.04
177,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,POTO,01.1.07.05
178,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,POTO-GAH,01.1.07.06
179,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,SIMPEROU,01.1.07.07
180,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,SIMPEROU-GAH,01.1.07.08
181,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,SOMPEROUKOU-GAH,01.1.07.09
182,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,SOMPEROUKOU-GBESSARA,01.1.07.10
183,1,ALIBORI,101,BANIKOARA,10107,SOMPEROUKOU,SOMPEROUKOU-YOROUNON,01.1.07.11
184,1,ALIBORI,101,BANIKOARA,10108,SOROKO,GBENIKI,01.1.08.01
185,1,ALIBORI,101,BANIKOARA,10108,SOROKO,MEKROU,01.1.08.02
186,1,ALIBORI,101,BANIKOARA,10108,SOROKO,SOROKO,01.1.08.03
187,1,ALIBORI,101,BANIKOARA,10108,SOROKO,SOROKO GAH,01.1.08.04
188,1,ALIBORI,101,BANIKOARA,10108,SOROKO,SOROKO YOROUNON,01.1.08.05
189,1,ALIBORI,101,BANIKOARA,10108,SOROKO,SOUDOU,01.1.08.06
190,1,ALIBORI,101,BANIKOARA,10109,TOURA,ATABENOU,01.1.09.01
191,1,ALIBORI,101,BANIKOARA,10109,TOURA,GNAMBOURANKOROU,01.1.09.02
192,1,ALIBORI,101,BANIKOARA,10109,TOURA,GUIMBAGOU,01.1.09.03
193,1,ALIBORI,101,BANIKOARA,10109,TOURA,KAKOUROGOU,01.1.09.04
194,1,ALIBORI,101,BANIKOARA,10109,TOURA,SIWOUGOUROU,01.1.09.05
195,1,ALIBORI,101,BANIKOARA,10109,TOURA,TINTINMOU,01.1.09.06
196,1,ALIBORI,101,BANIKOARA,10109,TOURA,TINTINMOU-GAH,01.1.09.07
197,1,ALIBORI,101,BANIKOARA,10109,TOURA,TOURA GAH,01.1.09.08
198,1,ALIBORI,101,BANIKOARA,10109,TOURA,TOURA-BIO N'WOROU,01.1.09.09
199,1,ALIBORI,101,BANIKOARA,10109,TOURA,TOURA-YOKPAROU,01.1.09.10
200,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,BADOU,01.2.01.01
201,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,BAGOU-SINKPAROU,01.2.01.02
202,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,BAGOU-YAGBO,01.2.01.03
203,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,BANIGOURE,01.2.01.04
204,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,BEPORORO,01.2.01.05
205,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,BOUYAGOUROU,01.2.01.06
206,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,DIADIA,01.2.01.07
207,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,GANDOBOU,01.2.01.08
208,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,GARAGORO,01.2.01.09
209,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,KALI,01.2.01.10
210,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,KANGNAN,01.2.01.11
211,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,KASSIROU,01.2.01.12
212,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,KEROU-BAGOU,01.2.01.13
213,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,KPAKAGUERE,01.2.01.14
214,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,NAFAROU,01.2.01.15
215,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,OROU-BEDOU,01.2.01.16
216,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,TAITI,01.2.01.17
217,1,ALIBORI,102,GOGOUNOU,10201,BAGOU,YANKPANNOU,01.2.01.18
218,1,ALIBORI,102,GOGOUNOU,10251,GOGOUNOU,DJINMELE,01.2.51.01
219,1,ALIBORI,102,GOGOUNOU,10251,GOGOUNOU,GOGOUNOU-GBANIN,01.2.51.02
220,1,ALIBORI,102,GOGOUNOU,10251,GOGOUNOU,GOGOUNOU-NASSABARA,01.2.51.03
221,1,ALIBORI,102,GOGOUNOU,10251,GOGOUNOU,GOUBERA,01.2.51.04
222,1,ALIBORI,102,GOGOUNOU,10251,GOGOUNOU,KONSENIN,01.2.51.05
223,1,ALIBORI,102,GOGOUNOU,10251,GOGOUNOU,OUERE-BANI,01.2.51.06
224,1,ALIBORI,102,GOGOUNOU,10251,GOGOUNOU,OUERE-SONKEROU,01.2.51.07
225,1,ALIBORI,102,GOGOUNOU,10251,GOGOUNOU,SONKOROU,01.2.51.08
226,1,ALIBORI,102,GOGOUNOU,10251,GOGOUNOU,SOROU,01.2.51.09
227,1,ALIBORI,102,GOGOUNOU,10202,GOUNAROU,BANTANSOUE,01.2.02.01
228,1,ALIBORI,102,GOGOUNOU,10202,GOUNAROU,BORO,01.2.02.02
229,1,ALIBORI,102,GOGOUNOU,10202,GOUNAROU,BORODAROU,01.2.02.03
230,1,ALIBORI,102,GOGOUNOU,10202,GOUNAROU,DAGOUROU,01.2.02.04
231,1,ALIBORI,102,GOGOUNOU,10202,GOUNAROU,DIGUISSON,01.2.02.05
232,1,ALIBORI,102,GOGOUNOU,10202,GOUNAROU,GOUNAROU,01.2.02.06
233,1,ALIBORI,102,GOGOUNOU,10202,GOUNAROU,LAFIAROU,01.2.02.07
234,1,ALIBORI,102,GOGOUNOU,10202,GOUNAROU,PARIKI,01.2.02.08
235,1,ALIBORI,102,GOGOUNOU,10203,SORI,DIMDIMNOU,01.2.03.01
236,1,ALIBORI,102,GOGOUNOU,10203,SORI,DONWARI,01.2.03.02
237,1,ALIBORI,102,GOGOUNOU,10203,SORI,GAMAGOU,01.2.03.03
238,1,ALIBORI,102,GOGOUNOU,10203,SORI,GASSO,01.2.03.04
239,1,ALIBORI,102,GOGOUNOU,10203,SORI,GBEMOUSSOU,01.2.03.05
240,1,ALIBORI,102,GOGOUNOU,10203,SORI,GNINDAROU,01.2.03.06
241,1,ALIBORI,102,GOGOUNOU,10203,SORI,GOURE DANTCHA,01.2.03.07
242,1,ALIBORI,102,GOGOUNOU,10203,SORI,KANTAKPARA-WOKPAROU,01.2.03.08
243,1,ALIBORI,102,GOGOUNOU,10203,SORI,KANTAKPARA-WOKPEROU,01.2.03.09
244,1,ALIBORI,102,GOGOUNOU,10203,SORI,KPIGOUROU,01.2.03.10
245,1,ALIBORI,102,GOGOUNOU,10203,SORI,OUESSENE-WOROU,01.2.03.11
246,1,ALIBORI,102,GOGOUNOU,10203,SORI,PETIT-PARIS,01.2.03.12
247,1,ALIBORI,102,GOGOUNOU,10203,SORI,SORI-BORO WANROU,01.2.03.13
248,1,ALIBORI,102,GOGOUNOU,10203,SORI,SORI-KPANKPANOU,01.2.03.14
249,1,ALIBORI,102,GOGOUNOU,10203,SORI,SORI-PEULH,01.2.03.15
250,1,ALIBORI,102,GOGOUNOU,10203,SORI,TAWALI,01.2.03.16
251,1,ALIBORI,102,GOGOUNOU,10203,SORI,TCHOUPOUNGA,01.2.03.17
252,1,ALIBORI,102,GOGOUNOU,10204,SOUGOU-KPAN-TROSSI,BINGA,01.2.04.01
253,1,ALIBORI,102,GOGOUNOU,10204,SOUGOU-KPAN-TROSSI,DOUGOULAYE,01.2.04.02
254,1,ALIBORI,102,GOGOUNOU,10204,SOUGOU-KPAN-TROSSI,FANAN,01.2.04.03
255,1,ALIBORI,102,GOGOUNOU,10204,SOUGOU-KPAN-TROSSI,GANDO-DARI,01.2.04.04
256,1,ALIBORI,102,GOGOUNOU,10204,SOUGOU-KPAN-TROSSI,GBESSA,01.2.04.05
257,1,ALIBORI,102,GOGOUNOU,10204,SOUGOU-KPAN-TROSSI,SOUGOU-GOUROU,01.2.04.06
258,1,ALIBORI,102,GOGOUNOU,10205,WARA,DASSARI,01.2.05.01
259,1,ALIBORI,102,GOGOUNOU,10205,WARA,DOUGOU,01.2.05.02
260,1,ALIBORI,102,GOGOUNOU,10205,WARA,KALE,01.2.05.03
261,1,ALIBORI,102,GOGOUNOU,10205,WARA,SOUKAROU,01.2.05.04
262,1,ALIBORI,102,GOGOUNOU,10205,WARA,WARA,01.2.05.05
263,1,ALIBORI,102,GOGOUNOU,10205,WARA,WARA-GAH,01.2.05.06
264,1,ALIBORI,102,GOGOUNOU,10205,WARA,WARA-GBIDOGO,01.2.05.07
265,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,AKOITCHAOU,01.3.01.01
266,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,ANGARADEBOU,01.3.01.03
267,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,DOGBAN,01.3.01.04
268,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,FAFA,01.3.01.05
269,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,FOUET,01.3.01.06
270,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,KABAGBEDE,01.3.01.07
271,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,KPALOLO,01.3.01.08
272,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,SEKALE,01.3.01.09
273,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,SONDO,01.3.01.10
274,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,SOUNDOU,01.3.01.11
275,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,TCHOKA,01.3.01.12
276,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,THUY,01.3.01.13
277,1,ALIBORI,103,KANDI,10301,ANGARADEBOU,THYA,01.3.01.14
278,1,ALIBORI,103,KANDI,10302,BENSEKOU,BENSEKOU,01.3.02.01
279,1,ALIBORI,103,KANDI,10302,BENSEKOU,GOGBEDE,01.3.02.02
280,1,ALIBORI,103,KANDI,10302,BENSEKOU,KOUTAKROUKOU,01.3.02.03
281,1,ALIBORI,103,KANDI,10303,DONWARI,DININ,01.3.03.01
282,1,ALIBORI,103,KANDI,10303,DONWARI,DININ PEULH,01.3.03.02
